ticker,degree,weighted_degree,betweenness,eigenvector,community,rank_degree,rank_weighted_degree,rank_betweenness,rank_eigenvector
EME,7,4.156053643781609,0.007365327165847549,6.863781884184656e-08,16,507.0,560.0,143.0,1390.0
ON,7,4.876242465204315,0.0005988403458142135,5.38431211169864e-10,57,507.0,518.0,617.0,2282.0
CGO,7,5.058525151641657,0.0,7.5521639809064105e-06,29,507.0,512.0,1254.0,483.0
UHS,7,3.9318411622134715,0.003469210754553339,1.199856358195742e-06,52,507.0,569.0,324.0,774.0
JEF,7,5.062665366060415,1.5358836600575362e-06,0.0021000118617354605,54,507.0,511.0,1212.0,163.0
AFL,7,5.050369845565707,0.00011165394729462632,0.0009161869171239409,54,507.0,513.0,1151.0,174.0
H,7,5.240888314953932,0.0012468569390832827,3.555231912147896e-10,11,507.0,504.0,448.0,2365.0
XYZ,7,3.3604676578440813,0.004336513443191674,2.1415104888395033e-07,59,507.0,619.0,237.0,1228.0
BDCZ,7,4.957303850487506,0.0005794866852976133,1.7709502562582622e-10,5,507.0,516.0,629.0,2465.0
GGAL,7,5.533824330948045,0.001300954032957502,2.0155799286653186e-12,24,507.0,494.0,441.0,2978.0
FOF,7,4.473616133175719,0.00028910089621277823,8.016394304579265e-06,29,507.0,536.0,818.0,475.0
TMO,7,4.568621909999854,0.0031801098583405605,3.748629786066657e-10,53,507.0,530.0,333.0,2359.0
WES,7,3.8882934397755817,0.0005782706259722738,1.1201399423409687e-08,10,507.0,572.0,631.0,1658.0
FCX,7,4.302176429529218,0.012111400212007323,5.642111224465101e-10,24,507.0,552.0,97.0,2270.0
BZH,6,4.2654669567147385,0.0,8.050373434430549e-10,55,539.0,556.0,1254.0,2206.0
PLD,6,4.676466803096711,0.0005782017924255565,7.256826497807813e-11,11,539.0,524.0,641.0,2599.0
EARN,6,4.408326155671799,0.0008673026886383347,6.207101837442988e-10,14,539.0,540.0,524.0,2243.0
DK,6,4.3794878381230475,3.443595773623301e-07,1.88748527211163e-09,10,539.0,544.0,1232.0,1987.0
DINO,6,4.586427635169686,3.432117121044556e-07,2.010663360725418e-09,10,539.0,529.0,1234.0,1956.0
ORC,6,4.3403290290178855,0.00028910089621277823,5.966570929679745e-10,14,539.0,546.0,818.0,2251.0
OR,6,4.306842722294794,0.0,7.184919976209065e-10,26,539.0,551.0,1254.0,2218.0
PBF,6,4.481149957714336,3.443595773623301e-07,1.9605584480656783e-09,10,539.0,534.0,1232.0,1965.0
EGP,6,4.948573258653942,0.0,7.935598849346476e-11,11,539.0,517.0,1254.0,2585.0
BNS,6,4.640598465859241,3.3366437716346925e-05,1.0044627020983917e-05,54,539.0,525.0,1173.0,451.0
PFD,6,4.330526018643056,0.0,1.4282478206875525e-06,29,539.0,547.0,1254.0,751.0
DAN,6,3.655709244653113,0.01411390575310783,7.849679622652946e-08,31,539.0,600.0,83.0,1353.0
BMA,6,4.856712606926435,0.001011853136744724,1.9641109328230743e-12,24,539.0,519.0,502.0,2980.0
NWN,6,4.407552340716198,0.0,1.1724468497316792e-08,8,539.0,541.0,1254.0,1652.0
CW,6,3.158342082663248,0.0017346053772766695,5.137118860227981e-08,4,539.0,633.0,388.0,1436.0
SBRA,6,4.699698367867684,0.0,1.2148088956079438e-09,11,539.0,523.0,1254.0,2143.0
OIS,6,3.8357451986650273,0.003621470559892068,1.0337232833369983e-08,10,539.0,574.0,314.0,1673.0
ENTG,6,4.401494660357313,7.415250260003077e-07,9.8073494850948e-09,57,539.0,542.0,1221.0,1687.0
WERN,6,4.323845458091672,0.005060229353377662,1.7465859527969248e-10,16,539.0,549.0,195.0,2471.0
BN,6,3.9925634129200236,0.0044799211664989565,7.903601662860677e-06,54,539.0,566.0,231.0,477.0
MOG-A,6,3.6535304701794367,0.013433554977353762,4.92966897123503e-06,4,539.0,601.0,85.0,513.0
ASML,6,4.527937621689542,9.347595644213134e-05,1.0219507826577262e-08,57,539.0,532.0,1159.0,1676.0
MUJ,6,4.27390438768677,0.0,8.39035354773245e-09,33,539.0,555.0,1254.0,1713.0
NXPI,6,4.053510257954406,0.003909607786450803,5.094985158891441e-10,57,539.0,563.0,269.0,2294.0
SHOO,6,3.2719156295853913,0.010123365830594611,3.955125053333621e-08,48,539.0,624.0,110.0,1482.0
