network,model_type,repetition,nodes,edges,density,min_degree,max_degree,average_degree,average_clustering,assortativity,connected,largest_cc_size,average_path_lcc,diameter_lcc,louvain_communities_unweighted,modularity_unweighted,louvain_communities_weighted,modularity_weighted,degree_sequence_error_mean,degree_sequence_error_max
"ER same n,m rep 4","ER same n,m",4,3461,13210,0.0022062519937269625,0,19,7.63363189829529,0.0018586086456688824,-0.00933205683910311,False,3458,4.239416324126219,7,24,0.3249041512491684,,,,
BA similar avg degree rep 4,BA similar avg degree,4,3461,13828,0.002309466507892236,4,186,7.990754117307136,0.01263868576854795,-0.05167508068026433,True,3461,3.5781793160117776,5,17,0.3256094661140811,,,,
Configuration model rep 4,Configuration model,4,3461,12179,0.0020340607896745405,1,261,7.037850332273909,0.058145536041586524,-0.07842902359942783,False,3308,3.5543049461970853,8,97,0.30526227336879613,,,0.5957815660213811,100.0
"ER same n,m rep 5","ER same n,m",5,3461,13210,0.0022062519937269625,0,18,7.63363189829529,0.0019448936886093777,-0.008409168624263875,False,3458,4.237709658762291,7,25,0.32517723652338254,,,,
BA similar avg degree rep 5,BA similar avg degree,5,3461,13828,0.002309466507892236,3,168,7.990754117307136,0.013964209452000085,-0.048523839278819654,True,3461,3.5798843596608285,6,17,0.32326954344415193,,,,
Configuration model rep 5,Configuration model,5,3461,12171,0.0020327246794588087,1,256,7.033227390927477,0.058670919315075364,-0.05019146206496776,False,3277,3.5524911293907326,8,108,0.3058153267570781,,,0.6004045073678128,105.0
"ER same n,m rep 6","ER same n,m",6,3461,13210,0.0022062519937269625,1,19,7.63363189829529,0.0017867303214958601,-0.003922628451263514,True,3461,4.2424063010957775,8,22,0.32459795500506866,,,,
BA similar avg degree rep 6,BA similar avg degree,6,3461,13828,0.002309466507892236,4,209,7.990754117307136,0.013676437963402673,-0.0420984910573863,True,3461,3.586495433008269,5,20,0.31548043417250105,,,,
Configuration model rep 6,Configuration model,6,3461,12165,0.00203172259679701,1,252,7.029760184917654,0.059477049159610884,-0.06292931980394648,False,3299,3.5547289905921837,8,100,0.3046333256130723,,,0.6038717133776366,109.0
"ER same n,m rep 7","ER same n,m",7,3461,13210,0.0022062519937269625,1,18,7.63363189829529,0.0020829847541780507,0.002015695284444753,True,3461,4.242402459778907,7,24,0.32382291877382824,,,,
BA similar avg degree rep 7,BA similar avg degree,7,3461,13828,0.002309466507892236,4,220,7.990754117307136,0.01443669972584342,-0.043570259262493506,True,3461,3.574742172481808,5,20,0.3095811827887709,,,,
Configuration model rep 7,Configuration model,7,3461,12163,0.002031388569243077,1,262,7.028604449581046,0.06264554704677788,-0.06724089856791458,False,3286,3.5425533905661304,8,107,0.3051909843740614,,,0.6050274487142444,99.0
"ER same n,m rep 8","ER same n,m",8,3461,13210,0.0022062519937269625,0,19,7.63363189829529,0.0020622768672465294,-0.014987414760660256,False,3458,4.239185946888092,7,26,0.3239312027625712,,,,
BA similar avg degree rep 8,BA similar avg degree,8,3461,13828,0.002309466507892236,4,201,7.990754117307136,0.0121939416665501,-0.04495079720990526,True,3461,3.6071779181064647,6,20,0.31596145648313356,,,,
Configuration model rep 8,Configuration model,8,3461,12154,0.0020298854452503786,1,258,7.02340364056631,0.054978293429145245,-0.053902911120769594,False,3303,3.5722584299683144,8,101,0.30556226157380373,,,0.61022825772898,103.0
"ER same n,m rep 9","ER same n,m",9,3461,13210,0.0022062519937269625,1,19,7.63363189829529,0.002255214622007626,0.002549932658268142,True,3461,4.242625757198711,7,21,0.3217530361750813,,,,
BA similar avg degree rep 9,BA similar avg degree,9,3461,13828,0.002309466507892236,4,279,7.990754117307136,0.015883923231070147,-0.04070326864762991,True,3461,3.5642533732607604,6,20,0.3192794059024593,,,,
Configuration model rep 9,Configuration model,9,3461,12165,0.00203172259679701,1,266,7.029760184917654,0.056936830459271975,-0.06957694975102144,False,3305,3.5623457378028007,8,100,0.3047473928915148,,,0.6038717133776366,95.0
"ER same n,m rep 10","ER same n,m",10,3461,13210,0.0022062519937269625,0,18,7.63363189829529,0.0030805284251245128,-0.006105198028170939,False,3455,4.238679288762709,7,28,0.3259951428075329,,,,
BA similar avg degree rep 10,BA similar avg degree,10,3461,13828,0.002309466507892236,4,201,7.990754117307136,0.014551283905386377,-0.0389257778544545,True,3461,3.5729267327261827,5,20,0.3116940949132568,,,,
Configuration model rep 10,Configuration model,10,3461,12156,0.0020302194728043115,1,244,7.024559375902919,0.053586472164910345,-0.057031037663904764,False,3300,3.552868729734447,8,101,0.3062706884646789,,,0.6090725223923722,117.0
"ER same n,m rep 11","ER same n,m",11,3461,13210,0.0022062519937269625,0,19,7.63363189829529,0.002065807818565437,-0.011383115885885104,False,3459,4.241560435881886,7,24,0.32386849076898483,,,,
BA similar avg degree rep 11,BA similar avg degree,11,3461,13828,0.002309466507892236,4,189,7.990754117307136,0.012984864641373987,-0.05043636272084689,True,3461,3.579862480856046,6,20,0.3170479666340023,,,,
Configuration model rep 11,Configuration model,11,3461,12180,0.0020342278034515067,1,249,7.038428199942214,0.05809806794427932,-0.07466895096163823,False,3303,3.554218188666471,8,103,0.30534656331815324,,,0.5952036983530772,112.0
"ER same n,m rep 12","ER same n,m",12,3461,13210,0.0022062519937269625,0,22,7.63363189829529,0.002186469666966633,0.008465875293992798,False,3459,4.2401652607066405,7,23,0.3244807342635503,,,,
BA similar avg degree rep 12,BA similar avg degree,12,3461,13828,0.002309466507892236,2,207,7.990754117307136,0.015340233481268397,-0.048165087047474325,True,3461,3.57902924912276,6,17,0.3267327283609725,,,,
Configuration model rep 12,Configuration model,12,3461,12152,0.0020295514176964457,1,250,7.022247905229702,0.05736356965892735,-0.04564649279966501,False,3289,3.5724817074388637,9,108,0.30327782339867926,,,0.611383993065588,111.0
"ER same n,m rep 13","ER same n,m",13,3461,13210,0.0022062519937269625,0,22,7.63363189829529,0.002694461535501411,-0.0002929599880631747,False,3460,4.244705693616552,7,18,0.3285770076462387,,,,
BA similar avg degree rep 13,BA similar avg degree,13,3461,13828,0.002309466507892236,4,172,7.990754117307136,0.015296168097484273,-0.04194606681433839,True,3461,3.586844491802129,5,21,0.31643309400026726,,,,
Configuration model rep 13,Configuration model,13,3461,12158,0.0020305535003582445,1,251,7.025715111239526,0.056716779147883555,-0.06512126050082218,False,3310,3.562538129554205,9,97,0.3039011476382372,,,0.6079167870557642,110.0
"ER same n,m rep 14","ER same n,m",14,3461,13210,0.0022062519937269625,1,18,7.63363189829529,0.002007881445565216,-0.005952239602920389,True,3461,4.240178170297268,7,20,0.32528431710200506,,,,
BA similar avg degree rep 14,BA similar avg degree,14,3461,13828,0.002309466507892236,4,178,7.990754117307136,0.013423360976122511,-0.04438736590604624,True,3461,3.589691742671853,6,16,0.32610495130931705,,,,
Configuration model rep 14,Configuration model,14,3461,12123,0.0020247080181644184,1,244,7.005489742848888,0.05372887665273562,-0.05843779330335213,False,3296,3.5555845499948435,9,105,0.3052976288323629,,,0.6281421554464027,117.0
"ER same n,m rep 15","ER same n,m",15,3461,13210,0.0022062519937269625,0,17,7.63363189829529,0.002248880133544545,0.014481089236347859,False,3460,4.242533092025996,7,23,0.3261504915930342,,,,
BA similar avg degree rep 15,BA similar avg degree,15,3461,13828,0.002309466507892236,4,169,7.990754117307136,0.014754318639018753,-0.053169063294332214,True,3461,3.577758441293822,5,19,0.3188242028871756,,,,
Configuration model rep 15,Configuration model,15,3461,12170,0.002032557665681842,1,263,7.032649523259174,0.05903863150744595,-0.060265878873744516,False,3292,3.560143038951919,8,103,0.3038202802127353,,,0.6009823750361167,98.0
"ER same n,m rep 16","ER same n,m",16,3461,13210,0.0022062519937269625,0,21,7.63363189829529,0.002630786347240279,-0.007414123019439316,False,3459,4.237524058996648,7,23,0.32144300621016925,,,,
BA similar avg degree rep 16,BA similar avg degree,16,3461,13828,0.002309466507892236,4,203,7.990754117307136,0.01409873680835648,-0.03861597147792657,True,3461,3.5988471038976004,5,18,0.3205952486095339,,,,
Configuration model rep 16,Configuration model,16,3461,12140,0.002027547252372848,1,254,7.015313493210055,0.05565338927798886,-0.05857281579601676,False,3316,3.547255684309541,9,96,0.3071109705820887,,,0.6183184050852355,107.0
"ER same n,m rep 17","ER same n,m",17,3461,13210,0.0022062519937269625,0,20,7.63363189829529,0.002141271156695572,-0.005489218383142426,False,3460,4.2412406606206146,7,23,0.32529392432613335,,,,
BA similar avg degree rep 17,BA similar avg degree,17,3461,13828,0.002309466507892236,4,216,7.990754117307136,0.012513815169954262,-0.038994158994489284,True,3461,3.5966909560369635,5,15,0.3257038500988507,,,,
Configuration model rep 17,Configuration model,17,3461,12191,0.0020360649549981376,1,239,7.0447847442935565,0.05403711542022588,-0.06322792167126937,False,3311,3.5694018199884847,8,94,0.302941998283534,,,0.5888471540017336,122.0
"ER same n,m rep 18","ER same n,m",18,3461,13210,0.0022062519937269625,0,19,7.63363189829529,0.00218990143187502,-0.004406027932939981,False,3460,4.236465148302075,7,24,0.32552446045680306,,,,
BA similar avg degree rep 18,BA similar avg degree,18,3461,13828,0.002309466507892236,4,257,7.990754117307136,0.014824767749290193,-0.04194199843757007,True,3461,3.5799643592599955,6,18,0.3195107676032054,,,,
