ticker,degree,weighted_degree,betweenness,eigenvector,community
WTBA,68,49.45284626252789,2.382129155660668e-07,0.05999116016238357,40
PRU,67,49.68762827074964,0.01751650993800076,0.032554986981824796,54
CSQ,67,50.087583119867475,0.022372268628772566,8.959311104364071e-05,29
OZK,67,49.270627079799226,3.2077009095461012e-06,0.0616696154532177,40
JRI,66,47.8901338285256,0.008998609623622852,3.175985666459308e-05,29
RBCAA,65,47.01531850953771,6.892799142256712e-07,0.05693026185346497,40
FBP,65,47.50274923664275,1.854869972826574e-05,0.05764476536155684,40
HPI,65,47.78476460047169,0.012639212898337108,2.1176834124423526e-05,29
TY,62,45.8984603515665,0.04868477703249446,8.661026929808435e-05,29
NFJ,60,42.690436544559354,0.03665800752777954,8.419068520934413e-05,29
STEW,59,43.35528038732247,0.18722185670294408,0.0030422435188947007,29
ETG,58,42.778108663399365,0.017613309762574265,8.564173985779538e-05,29
ETW,58,43.46425409882671,0.0023930945464192602,8.535443815240185e-05,29
EAD,57,41.113407868074994,0.006405849712582433,2.054667939943586e-05,29
BPOP,57,42.121444840160756,3.166616957674105e-05,0.048347296888355824,40
BMRC,56,40.31531564144052,0.0,0.05068093498683726,40
BDJ,56,41.76612299722763,0.01569591815258588,8.572677394783465e-05,29
HPF,54,40.04491796850432,0.004460559835083313,1.9481058862946786e-05,29
CII,53,40.869681856527,0.00355508715128429,8.57404278277796e-05,29
ETO,53,39.9540385515018,0.0018479626774375118,8.315290450892383e-05,29
NIE,53,38.829675298797376,0.004495765857888102,8.102859491841488e-05,29
ETY,52,39.84409900330453,0.011849815482095316,8.393474787824737e-05,29
FHN,51,37.27994011211231,3.6854143240092466e-05,0.045271416668315655,40
CCBG,51,36.97033588583389,5.980754052161251e-07,0.04431881725052659,40
MET,51,37.870370042670004,0.0011384284304434052,0.024755720264417296,54
AMP,50,36.208662966097044,0.02354969276793334,0.014693138055463276,54
OSBC,50,36.022190630068856,6.114813935908055e-08,0.0466063366815502,40
PEO,50,34.11312022356017,0.05364928840109133,1.5544033429652836e-07,10
EOS,49,36.235585806024375,0.003743760067342967,7.880135951143305e-05,29
HPS,49,36.10409616145943,0.0044623179697603176,1.9020030509532306e-05,29
C,49,36.20725246290616,0.00970261601320149,0.023382830081961455,54
DSU,48,35.553361082396464,0.002843882016227221,1.3669447857324244e-05,29
JPM,48,36.199767325153545,0.0051444363828047086,0.025629733498166385,54
USA,47,35.10753847682104,0.0006303104314202008,8.045759243407172e-05,29
JPC,46,33.141515800471055,0.042538948984944334,1.1708517766449078e-05,29
PFG,46,34.33404398007585,0.005873542641154528,0.020535530686772812,54
CFFN,45,31.861516364310415,0.004195817673701455,0.03985034076631337,40
MSBI,45,32.35938516265406,0.0,0.041539444938757566,40
ASA,45,27.865323545620537,0.022695657062092447,2.516318830464006e-09,26
ISD,45,32.86132114263475,0.002285808879528349,1.8256873880212076e-05,29
NCV,45,32.30355008083034,0.005272804583776515,2.9973309549627395e-05,29
COF,44,32.18936808949439,0.0033017538577562932,0.021990422475435218,54
CHW,43,31.275053246291996,0.0007384509821258312,7.24625423857871e-05,29
WFC,43,31.899535304490364,1.7131565601479405e-05,0.029156440489108888,54
GGZ,43,30.698128614135307,0.0010104820905133998,7.414794569310154e-05,29
FFA,43,30.715448715761095,0.006794631181860554,7.591215597151991e-05,29
HTB,42,30.173331529748562,0.0,0.03645216675496455,40
BOE,42,31.423126694278327,0.0010371781904275957,7.77329261001022e-05,29
NZF,41,29.035833031549757,0.03670323116946293,2.4622787761080306e-07,33
BGR,41,28.677138045290665,0.020164931117447587,1.4694565933700397e-07,10
EXG,41,31.642482838771436,0.00031823418079270587,7.84356480973547e-05,29
BGB,40,29.728634037827316,0.0021441000194890652,9.817763571769493e-06,29
LNC,40,29.474209335104423,0.00022141232211838976,0.01952664148587817,54
FMNB,40,28.660471813414507,0.0,0.036380247955059446,40
SCD,40,28.207302509258998,0.002160904063660543,7.02786254198715e-05,29
HYT,40,28.724644673253287,0.003673095762387775,1.9643067968181418e-05,29
AVK,39,28.027439006928404,0.0010577548946160973,3.434664619059859e-05,29
FRST,39,28.018704473096868,4.189868061054757e-08,0.035640539418196095,40
HTD,39,28.436821933462458,0.0062536460312161805,1.7078851049553233e-05,29
ETV,39,29.78241431703551,0.000321994491551527,7.529075073289677e-05,29
AX,39,28.035618154695772,0.0,0.036487435661636286,40
HAL,38,27.14687186946898,0.0074023990415594725,8.255028401246668e-08,10
JQC,38,27.92348552865309,0.0017345233588869644,9.133541475785896e-06,29
KRNY,38,27.112860784658302,0.0,0.03512705903172446,40
NCZ,38,27.316213562393305,0.005678545971962046,3.0196819602481576e-05,29
MS,37,27.542593861771042,0.00808636955925724,0.013206557840350349,54
EOI,37,27.666806184975222,0.006171813756879596,7.361711195572785e-05,29
SPXX,37,27.702779349704535,5.975032357546739e-05,7.330997997542347e-05,29
IGA,35,25.96615344997185,0.00015102821781526945,7.139162556461193e-05,29
CNO,35,25.085681849815227,0.0007127718467942392,0.018134331358165404,54
ATMP,35,23.928309572873758,0.007544624219506392,8.655498450439685e-08,10
GAM,35,24.95513439427558,0.0008163910160248498,7.047884565732115e-05,29
QQQX,35,24.48218301718329,0.0036940090283916365,6.593685942767558e-05,29
RJF,35,25.648336187662355,5.353607462953998e-05,0.01922685407329294,54
CUBI,34,24.33219094196867,6.181197069577736e-06,0.0304800699336477,40
FFC,33,23.986163069798163,0.0021873488134481383,8.291048407713377e-06,29
VLT,33,22.66298199542355,0.0018572955410476404,1.0617919271047339e-05,29
DVN,32,23.88829628039612,0.001896951757294991,8.593449960055613e-08,10
FLC,32,23.504310227387194,0.007650736044237718,8.252098587821166e-06,29
EVV,31,22.42087457758129,0.004340553891484541,9.576281476545635e-06,29
GHY,31,22.731033545299308,0.005433436025634715,1.2305993958017282e-05,29
L,31,20.553502848860056,0.02613695030423127,0.0027544207656973042,54
LGI,31,22.332721584532315,0.00029064451343760515,6.714480329238856e-05,29
CHY,30,22.23667805995504,0.00011746439057090218,2.729987229575008e-05,29
SLB,30,20.87768780432184,0.0052255909652535034,6.268809540833535e-08,10
AGD,30,22.029486606669387,5.275449367669245e-06,6.668550701128201e-05,29
CHI,30,21.682607732661975,0.000348282505161955,2.7055083177582363e-05,29
IQI,30,21.680136918620246,0.0068616468655496995,1.536326160255492e-08,33
VET,29,20.86904672904925,0.007564171739036832,7.681186267165592e-08,10
GS,29,21.50810989297291,0.001592377697301082,0.010865754535962663,54
IDA,29,21.700293835352127,0.001137408420057513,8.17319429156999e-08,8
OFG,29,20.870658817744967,0.0,0.026711296551901378,40
JFR,29,21.371256068660927,0.00045118508175898576,6.113098959243839e-06,29
BGH,29,20.906541130966687,0.0008149464253395628,9.289734160266231e-06,29
LNT,29,22.735193182960998,0.0015694133874037176,8.718114947672011e-08,8
BIT,29,20.67707887833839,0.0003432007254251181,7.316873685117364e-06,29
COP,29,22.058947639902737,0.0007790581251768349,8.191673948740573e-08,10
ADX,28,20.227406813442833,0.002538270991931977,6.3841179659825e-05,29
