source,target,correlation,distance,edge_type
PLXS,SANM,0.5859322514897586,0.9100195036484013,MST
FICO,MCO,0.5857099208726284,0.910263784984739,MST
EPM,PEO,0.585614207192477,0.9103689283005247,MST
ITT,R,0.5855497618202341,0.9104397159392442,MST
AOSL,POWI,0.5855104848679672,0.9104828555574594,MST
GIB,OTEX,0.5853984863948667,0.9106058572237863,MST
NSP,TNET,0.5852714789704946,0.9107453222822562,MST
BRC,CATY,0.5851740042808888,0.9108523433785645,MST
BABA,WB,0.5846306342050765,0.9114486993736108,MST
EHC,UHS,0.5845391612260825,0.9115490538351927,MST
ATR,SON,0.5845303544307283,0.9115587151349842,MST
IBCP,UNTY,0.5844310610962218,0.9116676356038731,MST
IBN,IIF,0.5843798921455091,0.9117237606364011,MST
MYRG,PWR,0.5841579530696748,0.9119671561304444,MST
FBIN,LEG,0.5839722228483605,0.9121707922879788,MST
AMSF,EIG,0.5839299767383113,0.9122171049280854,MST
MMD,NZF,0.583490443262837,0.9126988076437516,MST
DMO,DSL,0.5830920094819556,0.9131352479430902,MST
MYI,NUV,0.5829348351777129,0.9133073577085504,MST
AXP,DIS,0.5828937339590483,0.9133523592140678,MST
ASA,USAS,0.5822704146223973,0.9140345566526494,MST
RVT,VMI,0.5819646408357763,0.9143690274328234,MST
IBCP,MVBF,0.5819623510872948,0.9143715316136053,MST
IQV,MEDP,0.5815130221218846,0.91486280706794,MST
NXST,RVT,0.5810483939539826,0.9153705326762681,MST
CATY,THR,0.5810179653608772,0.9154037739043058,MST
AMP,HPE,0.5809531307479557,0.9154745974105937,MST
INTU,TYL,0.5807201244276093,0.9157290817402172,MST
FDUS,OFS,0.5806570923815048,0.915797911788944,MST
BAH,CACI,0.5806558552845321,0.9157992626285172,MST
DOC,MPT,0.5802141900397237,0.9162814086952504,MST
OXM,PVH,0.580188538127151,0.9163094039382648,MST
PVH,VFC,0.5798925806338415,0.91663233563535,MST
GWRE,NOW,0.5797009587170234,0.9168413617229282,MST
ARCC,OCSL,0.5794785882959028,0.9170838693424906,MST
NWS,RVT,0.579478014827106,0.9170844946600002,MST
GE,PH,0.5792762061217119,0.9173045229129616,MST
THG,UFCS,0.5789124057881077,0.9177010343373188,MST
MTUS,STLD,0.578793673094874,0.9178304057995965,MST
SYK,TFX,0.578700895561915,0.9179314837590931,MST
BGH,HYI,0.5786524046013326,0.9179843085790382,MST
GL,PRU,0.5786434157638976,0.9179941004561004,MST
BKE,URBN,0.5785019990385042,0.9181481372431094,MST
FN,LITE,0.5783601965971232,0.9183025682234334,MST
OXY,SD,0.5779934838478886,0.9187018190382681,MST
RVT,TJX,0.5779574780578154,0.9187410102332263,MST
CSCO,STEW,0.5776541221260324,0.9190711374795398,MST
AZTA,MKSI,0.5776535850878827,0.9190717218064294,MST
MSFT,VRSN,0.5775629837519877,0.9191702956993468,MST
BGR,SBR,0.5775519196199235,0.9191823327067122,MST
CTBB,FFC,0.577270357368743,0.9194885998545681,MST
IQV,ZTS,0.5764804281528729,0.9203472951523539,MST
RH,WSM,0.5762685001347917,0.920577535968816,MST
AOD,MXF,0.5761746877335991,0.9206794363581722,MST
IPGP,MKSI,0.5760576984064522,0.9208064960604349,MST
CNMD,RVT,0.5760057540752549,0.9208629061100736,MST
STE,SYK,0.5758169066929623,0.9210679598238534,MST
OMC,WPP,0.575750536574935,0.9211400147915245,MST
CIB,EC,0.5757228264932746,0.9211700966778344,MST
BABA,BZUN,0.5756939685555695,0.9212014236250728,MST
TSM,TWN,0.5755237181351768,0.921386218547709,MST
PLNT,RHP,0.5751977618050922,0.9217399179756812,MST
CHRW,EXPD,0.5751767245794558,0.9217627410787922,MST
